USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root             23759   0.0  0.1 408261472   5792   ??  Ss    5:26PM   0:00.21 /usr/sbin/systemsoundserverd
root             23734   0.0  0.1 408591296   5648   ??  Ss    5:25PM   0:00.09 /usr/libexec/wifivelocityd
macintosh        23627   0.0  0.1 408665760  12208   ??  S     5:22PM   0:00.63 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
macintosh        23618   0.0  0.1 409310816  11376   ??  S     5:22PM   0:00.19 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
macintosh        23481   0.0  0.2 408991888  12928   ??  S     5:18PM   0:00.55 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
macintosh        23464   0.0  0.1 408996000  12000   ??  S     5:17PM   0:00.62 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
macintosh        23448   0.0  0.1 409458704  11616   ??  S     5:17PM   0:00.68 /System/Library/CoreServices/LocationMenu.app/Contents/MacOS/LocationMenu
macintosh        23446   0.0  0.1 408494912  10672   ??  S     5:17PM   0:00.42 /System/Library/CoreServices/mapspushd
macintosh        23435   0.0  0.1 408536352   8384   ??  S     5:17PM   0:00.33 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
macintosh        23221   0.0  0.1 409191024   9264   ??  S     4:47PM   0:02.33 /usr/libexec/pkd
macintosh        23196   0.0  0.2 408679760  18320   ??  S     4:47PM   0:02.05 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
macintosh        23186   0.0  0.2 408675472  16400   ??  S     4:47PM   0:01.04 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
macintosh        23177   0.0  0.1 408980144  10688   ??  S     4:47PM   0:00.22 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
macintosh        23171   0.0  0.1 408868000  10960   ??  Ss    4:47PM   0:54.17 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
macintosh        23167   0.0  0.3 408968768  21296   ??  S     4:47PM   0:04.55 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
macintosh        23166   0.0  0.1 409164448  10480   ??  S     4:46PM   0:00.22 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreautha.bundle/Contents/MacOS/coreautha
root             23165   0.0  0.1 408529760   6416   ??  Ss    4:46PM   0:00.15 /usr/libexec/biometrickitd --launchd
root             23164   0.0  0.0 408085312   1664   ??  Ss    4:46PM   0:00.03 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
macintosh        23161   0.0  0.1 408328704   4768   ??  S     4:46PM   0:00.06 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
root             23156   0.0  0.1 408806096  10080   ??  Ss    4:46PM   0:00.75 /usr/libexec/coreduetd
macintosh        23151   0.0  0.1 408636592   8176   ??  S     4:46PM   0:00.33 /usr/libexec/triald
root             23150   0.0  0.1 408632256   9888   ??  Ss    4:46PM   0:00.37 /usr/libexec/PowerUIAgent
root             23079   0.0  0.1 409060080  11136   ??  S     4:44PM   0:00.83 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
macintosh        23078   0.0  0.1 408637792  11344   ??  S     4:44PM   0:01.65 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
macintosh        23075   0.0  0.2 408937392  16112   ??  S     4:44PM   0:04.29 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
macintosh        22977   0.0  0.2 409665360  17456   ??  S     4:42PM   0:03.42 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
macintosh        22903   0.0  0.0 408660144   3888   ??  S     4:39PM   0:00.84 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
macintosh        22902   0.0  0.0 408520448   3456   ??  S     4:39PM   0:00.43 /usr/libexec/secinitd
macintosh        22901   0.0  0.1 408633568   9824   ??  S     4:39PM   0:00.93 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
macintosh        22899   0.0  0.1 409192128   8208   ??  S     4:39PM   0:00.84 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
macintosh        22895   0.0  0.1 408676656   6400   ??  S     4:39PM   0:00.11 /usr/libexec/SidecarRelay
root             22893   0.0  0.1 409197344  11008   ??  Ss    4:39PM   0:15.60 /usr/libexec/mobileassetd
root             22892   0.0  0.1 408329904   5360   ??  Ss    4:39PM   0:00.43 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
macintosh        22887   0.0  0.1 408706848  12224   ??  S     4:39PM   0:00.34 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
macintosh        22885   0.0  0.2 409730640  16432   ??  S     4:39PM   0:01.46 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
macintosh        22884   0.0  0.1 408691728  11872   ??  S     4:39PM   0:00.29 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
macintosh        22882   0.0  0.1 409449616  11568   ??  S     4:39PM   0:00.29 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
_gamecontrollerd 22876   0.0  0.1 408529488   8352   ??  Ss    4:38PM   0:16.66 /usr/libexec/gamecontrollerd
macintosh        22842   0.0  0.2 408672816  16480   ??  S     4:38PM   0:00.72 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
macintosh        22825   0.0  0.1 408667232  10368   ??  S     4:38PM   0:14.52 /usr/libexec/trustd --agent
macintosh        22798   0.0  0.2 409190000  12864   ??  S     4:38PM   0:05.71 /usr/libexec/secd
macintosh        22770   0.0  0.2 409190848  13232   ??  S     4:37PM   0:05.45 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
root             22708   0.0  0.1 409192304   9632   ??  Ss    4:36PM   0:01.94 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
_trustd          22497   0.0  0.1 408797664  11136   ??  Ss    4:28PM   0:32.98 /usr/libexec/trustd
_netbios         21158   0.0  0.1 408460480   4384   ??  SNs   3:29PM   0:00.25 /usr/sbin/netbiosd
macintosh        21040   0.0  0.1 408230448   5072   ??  S<    3:25PM   0:00.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Squirrel.framework/Resources/ShipIt com.microsoft.VSCode.ShipIt /Users/macintosh/Library/Caches/com.microsoft.VSCode.ShipIt/ShipItState.plist
macintosh        20799   0.0  0.3 446763312  21328   ??  S     3:17PM   0:01.62 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --ms-enable-electron-run-as-node /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork --type=ptyHost --logsPath /Users/macintosh/Library/Application Support/Code/logs/20230302T151702
